strategy,low_noise,bit_flip_005,depolarizing_005,classical_control
TFT,2.875,2.8237500000000004,2.7983333333333333,2.25
WSLS,2.875,2.8237500000000004,2.7983333333333333,2.25
Grim,2.875,2.8237500000000004,2.7983333333333333,2.25
GTFT,2.875,2.8237500000000004,2.7983333333333333,2.25
ALLD,2.4999999999999996,2.4525,2.5455555555555556,5.0
