gamma,gamma_label,average_payoff,cooperation_rate
0.0,0,2.0805555555555553,0.47555555555555556
0.39269908169872414,pi/8,2.095277777777778,0.47972222222222216
0.7853981633974483,pi/4,2.151111111111111,0.49194444444444446
1.5707963267948966,pi/2,2.3777777777777778,0.6688888888888888
